reviewId,userName,content,score,appVersion
7678b4cf-b33d-4b82-be95-0b5b060df6d8,Meharking King6650,Good,5,
a0f01faa-07c0-40e8-912d-a304b1b68b13,Sandy Sandy,Good,5,
8c545ceb-008c-477a-8a25-dc31eb6b5f84,Zeeshan Gill,Why app don't open of my Number...,5,10.9.2
bb18ba0d-389f-4eb8-a5d7-7905980097b6,Yakubu Umoru,"Good App, can't love it less",4,10.9.2
1d0ff55f-9d5c-40ab-9d87-bfd33dc90497,Krishan kumar,Bad,2,9.2.2
de35b5ca-64b6-4855-b138-c7a925f94fe2,Tomiwa Marvelous,This app is safe and secure,5,10.9.2
e856484e-4811-468b-9d8f-0669ad115df3,Sabbi,Banglagesh Banglalink sim loging code sms problem,1,10.9.2
12b9fc4f-f82e-4cca-bdf6-297830a92bb9,Suresh Trivvedi,Otp problem,2,
a66fc33d-34b0-42be-81ca-39a40d289c2e,md. abadul,good app,5,10.9.1
f8696876-dbed-4183-8a99-c2d260436284,Lee Makin,Useless,1,
6544bd10-8eae-4469-ba13-90f0f2fa405a,suditto sarker,Bangladesh Teletalk Login Code Sms Problem,1,10.9.1
0eb24ad2-590d-471a-8605-3dc16a416c05,Rameshbhai D Timbal,Good,5,
c8ad0c1d-5f71-4be5-8db0-20696d1ec5e4,Sahil Anuragi,हेहस्न,4,
49cfb3dc-0904-40dd-b8df-b3568d27f2e7,sujata,I can't recover my account... It's been 2 week still it saying try after few day's.. This is so irritating.. Working progress is very slow,1,10.9.2
5da127f1-5197-4805-aba1-1982eea162a6,Salam# King,Best,5,10.9.2
e013f36f-2344-4612-8b7e-bb77778721ff,Anurag Yadav,We are facing a problem to login the call is coming but process is not done Means conformation call is coming but not login,4,10.9.2
c43226a3-5469-4d6e-8465-b74e05c37bb5,Sijikanakunnel Siji,Good,4,
7ac7bb27-127c-4e1a-b2ff-73451fc2f753,Malek Aldahas,"This app drains to much data when downloading. While actual downloading speed is 1.5MBbs, it takes like 5MBbs which is frustrating. Please fix it as soon as possible Note: I uninstall and reinstall thinking it might solve the problem.",1,10.9.2
