reviewId,userName,content,score,appVersion
2c2552bb-e31d-4cfd-a91f-b6f632a48168,Văn Nguyễn,Đăng nhập,5,10.9.2
37c386f6-0d6d-4bfd-a4de-a63062249412,Meow Meow,App dâm,1,10.9.2
bdc96538-c5ae-4b4a-ac0d-ae9de540f50b,Văn Mạnh Nguyễn,Ok,5,10.9.2
088b4032-d5d6-4004-b0c0-fee99c51b89a,Đạt Trần,K đăng nhập đc như cl,1,
4fc56ca1-35c8-4e78-bb92-6bcd5c64de5b,Cong minh Nguyen,Mình cần trải nghiệm những điều chưa biết,5,10.9.2
15ca8adf-db8c-4a94-b4cc-6dc7aaa0b997,Tấn Đạt Nguyễn,Tạo tài khoản dell có gửi mã lấy gì tạo??,1,10.9.2
7d7bbe40-9872-4715-a629-307b76c856c3,Phương Anh Nguyễn,"Bọn lừa đảo sử dụng ứng dụng này để khiến mình tin tưởng , và sẽ ăn cắp thông tin rồi mất tiền , ai mà bảo tải vì làm công việc on thì out luôn nha",1,10.9.2
453476bc-719b-4be7-92b6-28949b94e662,Anh Duy,Rất nhiều lừa đảo,1,10.9.2
c1392d19-caef-4da8-a9b3-c04428375185,Nguyễn Hoa (Zonkendy),Ok,5,10.9.1
38fd68d5-7ab3-427f-8ff5-67b9a09f2e10,Yen Tran van yen,Đăng nhập ko được,1,10.9.1
3803b2a2-3e63-459a-bbef-e0678036ac2a,Phamthingocsiem,Rất thích,5,
066e9372-4f63-403d-b9cf-c9cd20eaf73e,Duc Chu,Ok,5,10.2.8
65dac944-8799-41ca-9daf-df2a3d193fe7,Sai Lyquangsai,Tu do tu tai,5,10.9.1
80cc8b55-688d-4cd5-b249-58b42981bd17,Linhnguyên Nguyênvănlinh,Toàn sai vi tri đon khach,1,10.6.2
c52f14aa-be29-4ade-bce3-e231ca0b2a94,Facebook Kull,Nhà phát triển cần thêm ngôn ngữ tiếng việt,5,10.5.0
f4a8e253-20cf-4c71-884c-eafe915b685b,Fa Fi,🌚🌚🌚đc đấy,1,
